Groups,Participant Number :,Gender :,Age Group,Age,Explanation satisfaction scale (average),Trust Scale (average),Fluency of interaction (average),Adaptability
Group 1,11,Female,Student,27,2.2,2.125,3,0
Group 1,11,Female,Student,27,1.2,1.625,3,1
Group 1,12,Male,Student,16,4.6,4.75,3.5,1
Group 1,12,Male,Student,16,5.6,4.5,4.5,0
Group 1,13,Male,Student,28,5.6,4.25,4.25,0
Group 1,13,Male,Student,28,4.2,1.75,1.75,1
Group 1,14,Male,Student,25,4.6,3.375,5,0
Group 1,14,Male,Student,25,4,3,3.5,1
Group 1,15,Female,Student,19,2.8,3.25,3,0
Group 1,15,Female,Student,19,3.8,3.875,4.25,1
Group 1,16,Male,Student,30,4.8,3.5,5,0
Group 1,16,Male,Student,30,5.6,3.375,4.75,1
Group 1,17,Male,Student,28,5.4,3.625,4.75,0
Group 1,17,Male,Student,28,4.2,4.125,4,1
Group 1,18,Male,Student,23,5,4.25,5.5,0
Group 1,18,Male,Student,23,2.4,2.5,2.75,1
Group 1,19,Male,Student,23,2.8,1.625,2.25,1
Group 1,19,Male,Student,23,1.8,1.5,1.5,0
Group 1,51,Female,Older Adults,79,4,3,4.5,0
Group 1,51,Female,Older Adults,79,2.8,2.375,4.5,1
Group 1,52,Male,Older Adults,77,6.6,6,6.75,0
Group 1,52,Male,Older Adults,77,6.8,5.625,7,1
Group 1,53,Male,Older Adults,77,4,2.25,3.5,0
Group 1,53,Male,Older Adults,77,4.2,2.25,2.75,1
Group 1,54,Female,Older Adults,73,2.2,3.5,4.5,1
Group 1,54,Female,Older Adults,73,1.8,3.5,4,0
Group 1,55,Female,Older Adults,70,3.6,3,4.25,1
Group 1,55,Female,Older Adults,70,3.4,2.5,3.5,0
Group 1,110,Female,Student,24,6.8,4.625,5.75,1
Group 1,110,Female,Student,24,7,4.5,6.25,0
Group 1,111,Female,Student,25,4.8,3.25,4,0
Group 1,111,Female,Student,25,3.8,3.125,3.75,1
Group 1,112,Male,Student,28,2.2,2.375,3.5,1
Group 1,112,Male,Student,28,2.6,2.625,4,0
Group 1,113,Female,Student,22,4.6,3.5,3.5,0
Group 1,113,Female,Student,22,4.6,3.375,4.25,1
Group 1,114,Female,Student,25,4,4,5,0
Group 1,114,Female,Student,25,3.4,4,5.5,1
Group 1,115,Female,Student,25,5.8,3.625,6.25,1
Group 1,115,Female,Student,25,4,3,4.25,0
Group 1,116,Female,Student,23,6.4,5,6.5,1
Group 1,116,Female,Student,23,5.4,2.25,1.5,0
Group 1,117,Female,Student,25,3.2,2.875,4,1
Group 1,117,Female,Student,25,3,2.5,4.25,0
Group 1,118,Male,Student,26,5,2.375,4,1
Group 1,118,Male,Student,26,3.4,2.125,3.75,0
Group 1,119,Male,Student,26,5.4,2.375,4,1
Group 1,119,Male,Student,26,5.2,2.125,3.25,0
Group 1,120,Male,Student,28,6,4.875,6.5,0
Group 1,120,Male,Student,28,6,4.75,6.5,1
