Groups,Participant Number :,Gender :,Age Group,Age,Explanation satisfaction scale (average),Trust Scale (average),Fluency of interaction (average),Adaptability
Group 4,41,Male,Student,27,4.6,3.625,4.75,1
Group 4,41,Male,Student,27,3.8,3.375,4,0
Group 4,42,Female,Student,27,4.8,3.125,3.75,1
Group 4,42,Female,Student,27,2.4,2.375,2,0
Group 4,43,Male,Student,27,2.2,3.875,4.25,0
Group 4,43,Male,Student,27,4.2,4.625,5.5,1
Group 4,44,Male,Student,28,2,3.5,4,0
Group 4,44,Male,Student,28,4.2,4.75,5.75,1
Group 4,45,Male,Student,25,5.6,5,6,1
Group 4,45,Male,Student,25,3.2,4,3.5,0
Group 4,46,Male,Student,28,5.4,2.5,2.75,1
Group 4,46,Male,Student,28,1.6,1,1,0
Group 4,47,Female,Student,24,3.2,3.75,4.75,1
Group 4,47,Female,Student,24,4.2,3.375,5.5,0
Group 4,48,Female,Student,28,6,4.25,4.75,1
Group 4,48,Female,Student,28,2.2,2.625,4.5,0
Group 4,49,Male,Student,28,3,3,3,0
Group 4,49,Male,Student,28,2,2,2,1
Group 4,81,Male,Older Adults,72,1.6,2.25,3.25,0
Group 4,81,Male,Older Adults,72,2.4,2.25,2.5,1
Group 4,82,Female,Older Adults,74,4.6,3.125,5.75,0
Group 4,82,Female,Older Adults,74,4.6,3.25,5.5,1
Group 4,83,Male,Older Adults,70,2,3.25,4.5,0
Group 4,83,Male,Older Adults,70,5.8,5.625,6.5,1
Group 4,84,Male,Older Adults,72,5,2.75,2,1
Group 4,84,Male,Older Adults,72,4.8,3.5,3.25,0
Group 4,85,Male,Older Adults,90,3,2,2,1
Group 4,85,Male,Older Adults,90,2.2,2,2.5,0
Group 4,410,Male,Student,24,5,3.875,5.75,1
Group 4,410,Male,Student,24,3.4,3.875,4.25,0
Group 4,411,Male,Student,26,5.6,3.875,4,1
Group 4,411,Male,Student,26,2.2,1.875,2.25,0
Group 4,412,Male,Student,29,3,3.75,3.5,1
Group 4,412,Male,Student,29,1.8,3.25,3.5,0
Group 4,413,Male,Student,28,3.6,3.625,4.75,1
Group 4,413,Male,Student,28,2.2,2.375,2,0
Group 4,414,Male,Student,23,5.6,4.25,5.5,1
Group 4,414,Male,Student,23,1.4,3.375,4,0
Group 4,415,Male,Student,22,2.8,4.125,4.75,1
Group 4,415,Male,Student,22,2,2.875,4,0
Group 4,416,Male,Student,28,5,4.625,4.75,1
Group 4,416,Male,Student,28,1.8,2.25,2.25,0
Group 4,417,Male,Student,22,6.2,3.75,4.5,1
Group 4,417,Male,Student,22,4.6,3.125,4.5,0
Group 4,418,Male,Student,25,3,3.125,4.75,0
Group 4,418,Male,Student,25,4.4,3.25,4.25,1
Group 4,419,Female,Student,32,6.8,3.875,5.75,1
Group 4,419,Female,Student,32,3.4,2.875,3,0
Group 4,420,Female,Student,26,2,3.5,3.75,1
Group 4,420,Female,Student,26,2,3.125,3.25,0
