Groups,Participant Number,Age group,Adaptive,Error,Asked Experimenter,Participant_utterance_what,Participant_utterance_why,Robot's utterance,Paticipant's action,Success,Order
2,26,student,0,out-of-range,1,0,0,1,3,1,1
2,27,student,0,out-of-range,0,1,0,1,1,0,1
2,28,student,0,out-of-range,0,0,1,1,1,0,1
2,29,student,0,out-of-range,0,1,0,1,1,0,1
2,30,student,0,out-of-range,1,1,0,1,1,0,1
2,31,student,0,out-of-range,1,0,1,1,1,0,1
2,32,student,0,out-of-range,0,1,0,1,1,0,1
2,33,student,0,out-of-range,0,1,0,1,1,0,2
2,34,student,0,out-of-range,0,1,0,1,1,0,1
2,35,student,0,out-of-range,0,1,0,1,1,0,2
2,36,student,0,out-of-range,0,1,0,1,1,0,1
2,37,student,0,out-of-range,1,0,0,1,1,0,1
2,38,student,0,out-of-range,0,1,0,1,1,0,2
2,39,student,0,out-of-range,1,0,1,1,1,1,2
2,40,student,0,out-of-range,0,1,0,0,0,1,2
2,41,student,0,out-of-range,1,0,0,1,1,0,1
2,42,student,0,out-of-range,2,0,0,1,3,1,2
2,43,student,0,out-of-range,0,1,0,1,1,0,1
2,44,student,0,out-of-range,1,0,0,1,1,0,1
2,45,student,0,out-of-range,1,0,0,1,3,1,1
2,46,old,0,out-of-range,0,0,0,1,2,1,1
2,47,old,0,out-of-range,1,0,0,1,4,1,1
2,48,old,0,out-of-range,0,0,0,1,4,1,2
2,49,old,0,out-of-range,0,0,0,1,5,1,2
2,50,old,0,out-of-range,0,0,0,1,1,0,2
2,26,student,1,wrong cube,3,0,0,1,1,1,2
2,27,student,1,wrong cube,2,5,1,6,8,0,2
2,28,student,1,wrong cube,0,3,1,4,2,1,2
2,29,student,1,wrong cube,0,2,1,4,5,1,2
2,30,student,1,wrong cube,5,5,0,5,8,1,2
2,31,student,1,wrong cube,3,4,1,5,6,0,2
2,32,student,1,wrong cube,0,5,1,5,7,1,2
2,33,student,1,wrong cube,0,2,1,4,5,1,1
2,34,student,1,wrong cube,0,2,3,5,5,0,2
2,35,student,1,wrong cube,0,3,2,5,6,1,1
2,36,student,1,wrong cube,1,2,1,4,7,1,2
2,37,student,1,wrong cube,0,0,1,2,3,1,2
2,38,student,1,wrong cube,1,2,1,4,4,1,1
2,39,student,1,wrong cube,1,2,1,4,5,1,1
2,40,student,1,wrong cube,1,2,3,5,6,1,1
2,41,student,1,wrong cube,1,2,1,5,9,1,2
2,42,student,1,wrong cube,2,2,1,4,5,1,1
2,43,student,1,wrong cube,0,2,2,4,5,1,2
2,44,student,1,wrong cube,0,2,2,5,9,1,2
2,45,student,1,wrong cube,1,2,2,5,6,1,2
2,46,old,1,wrong cube,1,0,0,1,3,1,2
2,47,old,1,wrong cube,0,0,0,3,4,1,2
2,48,old,1,wrong cube,0,0,0,2,2,0,1
2,49,old,1,wrong cube,1,2,0,2,5,0,1
2,50,old,1,wrong cube,0,5,0,5,5,0,1
