Groups,Participant Number,Age group,Adaptive,Error,Asked Experimenter,Participant_utterance_what,Participant_utterance_why,Robot's utterance,Paticipant's action,Success,Order
3,51,student,1,out-of-range,1,2,2,5,7,1,2
3,52,student,1,out-of-range,1,3,1,4,5,1,2
3,53,student,1,out-of-range,0,2,0,4,4,0,1
3,54,student,1,out-of-range,0,1,2,5,4,0,2
3,55,student,1,out-of-range,0,1,0,2,4,1,2
3,56,student,1,out-of-range,1,2,1,4,7,1,1
3,57,student,1,out-of-range,5,2,1,3,10,1,2
3,58,student,1,out-of-range,0,2,1,4,6,1,2
3,59,student,1,out-of-range,0,2,1,4,4,1,2
3,60,student,1,out-of-range,0,0,1,2,3,1,2
3,61,student,1,out-of-range,0,3,1,4,5,0,1
3,62,student,1,out-of-range,0,2,1,3,5,0,2
3,63,student,1,out-of-range,2,2,2,5,7,1,2
3,64,student,1,out-of-range,2,0,1,2,4,1,1
3,65,student,1,out-of-range,2,0,2,3,5,1,1
3,66,student,1,out-of-range,2,2,0,3,4,0,1
3,67,student,1,out-of-range,1,0,1,2,3,1,1
3,68,student,1,out-of-range,1,0,1,2,4,1,1
3,69,student,1,out-of-range,1,0,1,2,3,1,2
3,70,student,1,out-of-range,0,1,1,4,5,0,1
3,71,old,1,out-of-range,1,2,0,2,3,0,1
3,72,old,1,out-of-range,1,1,0,1,2,1,2
3,73,old,1,out-of-range,0,0,0,1,1,1,2
3,74,old,1,out-of-range,2,1,0,1,2,1,2
3,75,old,1,out-of-range,0,2,0,2,9,1,1
3,51,student,0,wrong cube,0,0,0,1,1,0,1
3,52,student,0,wrong cube,0,1,1,2,2,0,1
3,53,student,0,wrong cube,0,2,0,2,2,0,2
3,54,student,0,wrong cube,1,0,0,2,2,0,1
3,55,student,0,wrong cube,1,0,2,2,2,0,1
3,56,student,0,wrong cube,0,0,2,2,2,1,2
3,57,student,0,wrong cube,0,0,0,0,0,0,1
3,58,student,0,wrong cube,0,0,2,2,2,0,1
3,59,student,0,wrong cube,1,1,1,2,2,0,1
3,60,student,0,wrong cube,0,1,1,2,2,0,1
3,61,student,0,wrong cube,0,1,1,2,2,0,2
3,62,student,0,wrong cube,0,0,2,2,2,0,1
3,63,student,0,wrong cube,0,2,0,2,2,0,1
3,64,student,0,wrong cube,1,2,0,2,3,0,2
3,65,student,0,wrong cube,0,1,1,2,2,0,2
3,66,student,0,wrong cube,0,0,0,1,5,1,2
3,67,student,0,wrong cube,0,1,1,2,4,0,2
3,68,student,0,wrong cube,0,0,1,2,2,0,2
3,69,student,0,wrong cube,1,0,2,2,2,0,1
3,70,student,0,wrong cube,0,1,1,2,2,0,2
3,71,old,0,wrong cube,0,1,0,4,4,0,2
3,72,old,0,wrong cube,3,1,0,2,3,0,1
3,73,old,0,wrong cube,1,2,0,2,2,1,1
3,74,old,0,wrong cube,0,0,0,1,3,1,1
3,75,old,0,wrong cube,1,1,0,2,2,0,2
